unit_number,house_number,street_name,Suburb,State,Post_Code,Collection_Day,Collection_Week,,,Weekly_Garbage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,102,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,104,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,108,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,111,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,123,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,142,YIPPIN CREEK ROAD,YIPPIN CREEK,NSW,2446,MON,EVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
